"ID";"指示符";"软件包";"数量";"名称";"供应商和参考";
1;"REF**,P1";"USB_C_Receptacle_Amphenol_12401610E4-2A";2;"USB_C_Receptacle_Amphenol_12401610E4-2A";;;
2;"C8,C10,C16,C15,C14,C9,C11,C4,C5";"C_0402_1005Metric";9;"C_0402_1005Metric";;;
3;"U4";"BGA-9_3x3_2.9x2.35mm";1;"BGA-9_3x3_2.9x2.35mm";;;
4;"U2";"QFN-64-1EP_8x8mm_P0.4mm_EP6.5x6.5mm_ThermalVias";1;"QFN-64-1EP_8x8mm_P0.4mm_EP6.5x6.5mm_ThermalVias";;;
5;"Y2,Y1";"OSC_5032";2;"OSC_5032";;;
6;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias";1;"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias";;;
7;"R12,R9,R7,R4,R1,R3";"R_0402_1005Metric";6;"R_0402_1005Metric";;;
8;"C3,C1,C2";"C_0603_1608Metric";3;"C_0603_1608Metric";;;
9;"L1";"L_0603_1608Metric";1;"L_0603_1608Metric";;;
10;"U1";"TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm";1;"TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm";;;
11;"SW1";"SW_E-Switch_EG1271_DPDT";1;"SW_E-Switch_EG1271_DPDT";;;
12;"R2";"R_0603_1608Metric";1;"R_0603_1608Metric";;;
13;"F1";"Fuse_0603_1608Metric";1;"Fuse_0603_1608Metric";;;
14;"J2,J1";"USB3_A_Molex_48393-001";2;"USB3_A_Molex_48393-001";;;
15;"REF**";"RJ45_Amphenol_RJHSE5380";1;"RJ45_Amphenol_RJHSE5380";;;
